IBM-rf,Mkt-rf,HML,SMB
0.115265375,0.135800000,0.080600000,0.109300000
0.146887905,0.054100000,-0.045200000,0.002300000
-0.043499625,0.026100000,0.025400000,0.037400000
0.011225000,0.042100000,-0.012300000,-0.005100000
0.026369231,0.050700000,-0.042600000,0.039100000
-0.032085075,0.047400000,0.013200000,0.007700000
-0.095011132,-0.065200000,0.016600000,0.026800000
-0.015348523,-0.028400000,-0.008300000,-0.032300000
0.005360981,-0.043300000,0.004400000,-0.000600000
0.120982278,0.050300000,0.003000000,-0.040400000
0.070806367,0.027100000,0.020600000,-0.012000000
-0.013510801,-0.015800000,0.017600000,-0.008000000
0.144684886,0.121300000,0.085500000,0.047600000
-0.004929052,0.003900000,0.058400000,0.069700000
0.020502297,0.022800000,-0.001500000,-0.011900000
-0.037084903,-0.014600000,-0.000500000,-0.000400000
0.016392736,-0.013100000,-0.013300000,-0.012200000
0.074487879,0.040200000,0.007600000,-0.013400000
-0.021553933,-0.010900000,0.017500000,0.002800000
0.010085714,-0.005600000,0.008500000,-0.019500000
0.023769014,0.020100000,-0.003000000,0.000200000
-0.038346575,-0.024500000,-0.001800000,0.001600000
0.001673759,0.001400000,0.014600000,0.023400000
0.025619182,0.057600000,0.022600000,0.029800000
-0.017298630,-0.039900000,0.042900000,0.048200000
0.009000000,-0.019300000,0.005000000,0.010800000
-0.002428258,-0.013000000,0.010900000,0.010300000
-0.068183562,0.001200000,0.034100000,-0.001100000
-0.046159736,-0.014500000,0.008700000,0.012500000
0.072452599,0.047400000,-0.006600000,0.022000000
0.011425000,-0.017000000,-0.005700000,0.021100000
0.005390210,-0.017800000,-0.027900000,0.015400000
-0.032000831,-0.002700000,-0.004400000,0.014400000
-0.019145014,-0.044200000,0.018100000,0.012800000
0.031127168,0.040400000,0.003600000,0.037100000
0.031362204,0.003300000,-0.003200000,0.013600000
-0.034509690,-0.060100000,0.033000000,0.022300000
-0.047595839,-0.013900000,0.008800000,0.036200000
-0.067618841,0.028700000,0.012300000,0.034000000
0.124429985,0.077400000,-0.034700000,0.003400000
-0.024251847,0.018100000,-0.006100000,0.046100000
-0.009584100,-0.016200000,0.005600000,0.017400000
0.086836975,0.051100000,-0.011200000,0.002800000
0.044500000,0.036900000,-0.004900000,0.050800000
-0.057482051,-0.013100000,0.019100000,-0.004000000
-0.053132046,-0.117800000,0.014100000,-0.099500000
